"metric","variable","value","dataset"
"len","stddev","158.73","ESCHERICHIA-ISP-sanger"
"info","bases","76611","ESCHERICHIA-LGC-sanger"
"info","reads","94","ESCHERICHIA-LGC-sanger"
"len","max","1106","ESCHERICHIA-LGC-sanger"
"len","mean","815.01","ESCHERICHIA-LGC-sanger"
"len","median","872.5","ESCHERICHIA-LGC-sanger"
"len","min","512","ESCHERICHIA-LGC-sanger"
"len","mode","890","ESCHERICHIA-LGC-sanger"
"len","modeval","10","ESCHERICHIA-LGC-sanger"
"len","range","595","ESCHERICHIA-LGC-sanger"
"len","stddev","123.27","ESCHERICHIA-LGC-sanger"
"info","bases","62313","ESCHERICHIA-NIST-sanger"
"info","reads","92","ESCHERICHIA-NIST-sanger"
"len","max","892","ESCHERICHIA-NIST-sanger"
"len","mean","677.32","ESCHERICHIA-NIST-sanger"
"len","median","597","ESCHERICHIA-NIST-sanger"
"len","min","509","ESCHERICHIA-NIST-sanger"
"len","mode","597","ESCHERICHIA-NIST-sanger"
"len","modeval","42","ESCHERICHIA-NIST-sanger"
"len","range","384","ESCHERICHIA-NIST-sanger"
"len","stddev","121.35","ESCHERICHIA-NIST-sanger"
"info","bases","3379","LISTERIA-ATCC-sanger"
"info","reads","4","LISTERIA-ATCC-sanger"
"len","max","934","LISTERIA-ATCC-sanger"
"len","mean","844.75","LISTERIA-ATCC-sanger"
"len","median","846","LISTERIA-ATCC-sanger"
"len","min","753","LISTERIA-ATCC-sanger"
"len","mode","776","LISTERIA-ATCC-sanger"
"len","modeval","1","LISTERIA-ATCC-sanger"
"len","range","182","LISTERIA-ATCC-sanger"
"len","stddev","80.91","LISTERIA-ATCC-sanger"
"info","bases","2248","LISTERIA-ISP-sanger"
"info","reads","4","LISTERIA-ISP-sanger"
"len","max","796","LISTERIA-ISP-sanger"
"len","mean","562.00","LISTERIA-ISP-sanger"
"len","median","519","LISTERIA-ISP-sanger"
"len","min","414","LISTERIA-ISP-sanger"
"len","mode","796","LISTERIA-ISP-sanger"
