"gc-1","gc-2","gc-3","gc-4","gc-5","gc-6","likelihood","chimera","dataset"
1,1,1,3,3,6,0.0161688835795092,8035.27345678102,"Lmono-454-LGC-1"
1,1,1,3,3,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,3,3,8,0.934267663809743,8545.37668364104,"Lmono-454-LGC-1"
1,1,1,3,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,3,4,5,0.0157806338433964,8077.67811288646,"Lmono-454-LGC-1"
1,1,1,3,4,6,0.0101348633891026,4372.89416179233,"Lmono-454-LGC-1"
1,1,1,3,4,7,0.934267663809743,8545.37668364104,"Lmono-454-LGC-1"
1,1,1,3,4,8,0.916613181951573,4999.37023137455,"Lmono-454-LGC-1"
1,1,1,3,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,3,5,6,0.0238253722789679,9469.08226236419,"Lmono-454-LGC-1"
1,1,1,3,5,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,3,5,8,0.916007604698643,9014.06948173974,"Lmono-454-LGC-1"
1,1,1,3,6,6,0.0230348851623632,5913.65873189033,"Lmono-454-LGC-1"
1,1,1,3,6,7,0.916007604698643,9014.06948173974,"Lmono-454-LGC-1"
1,1,1,3,6,8,0.934600700853577,5468.06302947324,"Lmono-454-LGC-1"
1,1,1,3,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,3,7,8,0.916864133731229,8776.32062815982,"Lmono-454-LGC-1"
1,1,1,3,8,8,0.934845058402319,5230.31417589331,"Lmono-454-LGC-1"
1,1,1,4,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,4,4,5,0.0181018532674977,4580.07520165605,"Lmono-454-LGC-1"
1,1,1,4,4,6,0.0134048484344271,2577.55577466497,"Lmono-454-LGC-1"
1,1,1,4,4,7,0.916613181951573,4999.37023137455,"Lmono-454-LGC-1"
1,1,1,4,4,8,0.917607870896197,3064.79707978388,"Lmono-454-LGC-1"
1,1,1,4,5,5,0.010610713436266,8615.38075884098,"Lmono-454-LGC-1"
1,1,1,4,5,6,0.00977516130648888,5439.31876911707,"Lmono-454-LGC-1"
1,1,1,4,5,7,0.916007604698643,9014.06948173974,"Lmono-454-LGC-1"
1,1,1,4,5,8,0.934600700853577,5468.06302947324,"Lmono-454-LGC-1"
1,1,1,4,6,6,0.0123451529654441,3760.39848642606,"Lmono-454-LGC-1"
1,1,1,4,6,7,0.934600700853577,5468.06302947324,"Lmono-454-LGC-1"
1,1,1,4,6,8,0.916335647070405,3533.48987788258,"Lmono-454-LGC-1"
1,1,1,4,7,7,0.916864133731229,8776.32062815982,"Lmono-454-LGC-1"
1,1,1,4,7,8,0.934845058402319,5230.31417589331,"Lmono-454-LGC-1"
1,1,1,4,8,8,0.916849513213978,3295.74102430266,"Lmono-454-LGC-1"
1,1,1,5,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,5,5,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,5,5,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,5,5,8,0.933643227470197,11239.5757490557,"Lmono-454-LGC-1"
1,1,1,5,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,5,6,7,0.933643227470197,11239.5757490557,"Lmono-454-LGC-1"
1,1,1,5,6,8,0.935628324260408,7693.56929678922,"Lmono-454-LGC-1"
1,1,1,5,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,5,7,8,0.916538511962019,9936.64900841718,"Lmono-454-LGC-1"
1,1,1,5,8,8,0.936115604775355,6390.64255615066,"Lmono-454-LGC-1"
1,1,1,6,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,6,6,7,0.935628324260408,7693.56929678922,"Lmono-454-LGC-1"
1,1,1,6,6,8,0.934351723314538,5758.99614519855,"Lmono-454-LGC-1"
1,1,1,6,7,7,0.916538511962019,9936.64900841718,"Lmono-454-LGC-1"
1,1,1,6,7,8,0.936115604775355,6390.64255615066,"Lmono-454-LGC-1"
1,1,1,6,8,8,0.916571690321578,4456.06940456002,"Lmono-454-LGC-1"
1,1,1,7,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,7,7,8,0.934075277239424,9698.90015483723,"Lmono-454-LGC-1"
1,1,1,7,8,8,0.93504747374007,6152.89370257073,"Lmono-454-LGC-1"
1,1,1,8,8,8,0.916695531147785,4218.32055098009,"Lmono-454-LGC-1"
1,1,2,2,2,2,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,2,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,2,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,2,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,2,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,2,7,0.936158971562266,4605.47267400235,"Lmono-454-LGC-1"
1,1,2,2,2,8,0.91687865429907,3411.87259972603,"Lmono-454-LGC-1"
1,1,2,2,3,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,3,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,3,5,0.0288914981652631,6113.3070146812,"Lmono-454-LGC-1"
1,1,2,2,3,6,0.0199816529724552,4124.0749975213,"Lmono-454-LGC-1"
1,1,2,2,3,7,0.934681453687742,5237.11908495447,"Lmono-454-LGC-1"
1,1,2,2,3,8,0.916990332492748,3302.54593336381,"Lmono-454-LGC-1"
1,1,2,2,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,4,5,0.0141473330676383,4043.55389572586,"Lmono-454-LGC-1"
1,1,2,2,4,6,0.00933476335290352,2790.92842811201,"Lmono-454-LGC-1"
1,1,2,2,4,7,0.916990332492748,3302.54593336381,"Lmono-454-LGC-1"
1,1,2,2,4,8,0.916897617870137,2108.94585908745,"Lmono-454-LGC-1"
1,1,2,2,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,5,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,5,7,0.935213246624944,6770.9897701118,"Lmono-454-LGC-1"
1,1,2,2,5,8,0.916333660593357,4836.41661852116,"Lmono-454-LGC-1"
1,1,2,2,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,2,6,7,0.916333660593357,4836.41661852116,"Lmono-454-LGC-1"
1,1,2,2,6,8,0.949298327174159,3642.81654424476,"Lmono-454-LGC-1"
1,1,2,2,7,7,0.934609817620998,5468.06302947324,"Lmono-454-LGC-1"
1,1,2,2,7,8,0.93642898321065,3533.48987788257,"Lmono-454-LGC-1"
1,1,2,2,8,8,0.942321010354662,2339.8898036062,"Lmono-454-LGC-1"
1,1,2,3,3,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,3,3,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,3,3,5,0.0249335030967564,8215.58923153306,"Lmono-454-LGC-1"
1,1,2,3,3,6,0.0145661374910634,4540.88987511433,"Lmono-454-LGC-1"
1,1,2,3,3,7,0.934267663809743,8545.37668364104,"Lmono-454-LGC-1"
1,1,2,3,3,8,0.916613181951573,4999.37023137455,"Lmono-454-LGC-1"
1,1,2,3,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,3,4,5,0.0163607634243111,4603.11874444327,"Lmono-454-LGC-1"
1,1,2,3,4,6,0.00496951186828687,2439.93866724031,"Lmono-454-LGC-1"
1,1,2,3,4,7,0.916613181951573,4999.37023137455,"Lmono-454-LGC-1"
1,1,2,3,4,8,0.917607870896197,3064.79707978388,"Lmono-454-LGC-1"
1,1,2,3,5,5,0.0229334539207555,9464.35226227791,"Lmono-454-LGC-1"
1,1,2,3,5,6,0.0218183892143179,5906.96579482175,"Lmono-454-LGC-1"
1,1,2,3,5,7,0.916007604698643,9014.06948173974,"Lmono-454-LGC-1"
1,1,2,3,5,8,0.934600700853577,5468.06302947324,"Lmono-454-LGC-1"
1,1,2,3,6,6,0.0204631187242226,3953.55834996607,"Lmono-454-LGC-1"
1,1,2,3,6,7,0.934600700853577,5468.06302947324,"Lmono-454-LGC-1"
1,1,2,3,6,8,0.916335647070405,3533.48987788258,"Lmono-454-LGC-1"
1,1,2,3,7,7,0.916864133731229,8776.32062815982,"Lmono-454-LGC-1"
1,1,2,3,7,8,0.934845058402319,5230.31417589331,"Lmono-454-LGC-1"
1,1,2,3,8,8,0.916849513213978,3295.74102430266,"Lmono-454-LGC-1"
1,1,2,4,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,4,4,5,0.0193342333294338,2688.46900203941,"Lmono-454-LGC-1"
1,1,2,4,4,6,0.0144141415457952,1450.91451829759,"Lmono-454-LGC-1"
1,1,2,4,4,7,0.917607870896197,3064.79707978388,"Lmono-454-LGC-1"
1,1,2,4,4,8,0.916557771555121,1871.19700550752,"Lmono-454-LGC-1"
1,1,2,4,5,5,0.00836703527639186,5360.97820022986,"Lmono-454-LGC-1"
1,1,2,4,5,6,0.00820981169300067,3658.74010182633,"Lmono-454-LGC-1"
1,1,2,4,5,7,0.934600700853577,5468.06302947324,"Lmono-454-LGC-1"
1,1,2,4,5,8,0.916335647070405,3533.48987788258,"Lmono-454-LGC-1"
1,1,2,4,6,6,0.0127138492993331,2648.90866777668,"Lmono-454-LGC-1"
1,1,2,4,6,7,0.916335647070405,3533.48987788258,"Lmono-454-LGC-1"
1,1,2,4,6,8,0.916194040871171,2339.88980360622,"Lmono-454-LGC-1"
1,1,2,4,7,7,0.934845058402319,5230.31417589331,"Lmono-454-LGC-1"
1,1,2,4,7,8,0.916849513213978,3295.74102430266,"Lmono-454-LGC-1"
1,1,2,4,8,8,0.916863817115224,2102.1409500263,"Lmono-454-LGC-1"
1,1,2,5,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,5,5,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,5,5,7,0.933643227470197,11239.5757490557,"Lmono-454-LGC-1"
1,1,2,5,5,8,0.935628324260408,7693.56929678922,"Lmono-454-LGC-1"
1,1,2,5,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,5,6,7,0.935628324260408,7693.56929678922,"Lmono-454-LGC-1"
1,1,2,5,6,8,0.934351723314538,5758.99614519855,"Lmono-454-LGC-1"
1,1,2,5,7,7,0.916538511962019,9936.64900841718,"Lmono-454-LGC-1"
1,1,2,5,7,8,0.936115604775355,6390.64255615066,"Lmono-454-LGC-1"
1,1,2,5,8,8,0.916571690321578,4456.06940456002,"Lmono-454-LGC-1"
1,1,2,6,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,2,6,6,7,0.934351723314538,5758.99614519855,"Lmono-454-LGC-1"
1,1,2,6,6,8,0.916796160479621,4565.39607092222,"Lmono-454-LGC-1"
1,1,2,6,7,7,0.936115604775355,6390.64255615066,"Lmono-454-LGC-1"
1,1,2,6,7,8,0.916571690321578,4456.06940456002,"Lmono-454-LGC-1"
1,1,2,6,8,8,0.916527970346885,3262.46933028365,"Lmono-454-LGC-1"
